"Poll","Start_Date","End_Date","Number","Type","MoE","Clinton","Trump","Spread"
"QuinnipiacQuinnipiac",2016-10-17,2016-10-18,1007,"LV","3.1",50,44,"Clinton +6"
"Economist/YouGovEconomist",2016-10-15,2016-10-18,925,"RV","3.9",47,43,"Clinton +4"
"FOX NewsFOX News",2016-10-15,2016-10-17,912,"LV","3.0",49,42,"Clinton +7"
"BloombergBloomberg",2016-10-14,2016-10-17,1006,"LV","3.1",50,41,"Clinton +9"
"Reuters/IpsosReuters",2016-10-13,2016-10-17,1190,"LV","3.3",43,39,"Clinton +4"
"MonmouthMonmouth",2016-10-14,2016-10-16,726,"LV","3.6",53,41,"Clinton +12"
"CBS NewsCBS News",2016-10-12,2016-10-16,1189,"LV","3.0",51,40,"Clinton +11"
"NBC News/SMNBC News",2016-10-10,2016-10-16,24804,"LV","1.0",51,43,"Clinton +8"
"ABC News/Wash PostABC/WP",2016-10-10,2016-10-13,740,"LV","4.0",50,46,"Clinton +4"
"NBC News/Wall St. JrnlNBC/WSJ",2016-10-10,2016-10-13,905,"LV","3.3",51,41,"Clinton +10"
"LA Times/USC TrackingLA Times",2016-10-09,2016-10-15,2946,"LV","4.5",44,45,"Trump +1"
"FOX NewsFOX News",2016-10-10,2016-10-12,917,"LV","3.0",49,41,"Clinton +8"
"NBC News/Wall St. JrnlNBC/WSJ",2016-10-08,2016-10-10,806,"LV","3.5",50,40,"Clinton +10"
"Reuters/IpsosReuters",2016-10-06,2016-10-10,2363,"LV","2.2",44,37,"Clinton +7"
"NBC News/Wall St. JrnlNBC/WSJ",2016-10-08,2016-10-09,447,"LV","4.6",52,38,"Clinton +14"
"Economist/YouGovEconomist",2016-10-07,2016-10-08,971,"RV","4.2",48,43,"Clinton +5"
"The AtlanticThe Atlantic",2016-10-05,2016-10-09,886,"LV","3.9",49,38,"Clinton +11"
"LA Times/USC TrackingLA Times",2016-10-04,2016-10-10,2969,"LV","4.5",43,45,"Trump +2"
"NBC News/SMNBC News",2016-10-03,2016-10-09,23329,"LV","1.0",51,44,"Clinton +7"
"QuinnipiacQuinnipiac",2016-10-05,2016-10-06,1064,"LV","3.0",50,44,"Clinton +6"
"FOX NewsFOX News",2016-10-03,2016-10-06,896,"LV","3.0",48,44,"Clinton +4"
"Economist/YouGovEconomist",2016-10-01,2016-10-03,911,"RV","3.9",48,43,"Clinton +5"
"Reuters/IpsosReuters",2016-09-29,2016-10-03,1239,"LV","3.2",44,37,"Clinton +7"
"The Atlantic/PRRIThe Atlantic",2016-09-28,2016-10-02,609,"LV","--",47,41,"Clinton +6"
"CBS NewsCBS News",2016-09-28,2016-10-02,1217,"LV","4.0",49,43,"Clinton +6"
"CNN/ORCCNN/ORC",2016-09-28,2016-10-02,1213,"LV","3.0",51,45,"Clinton +6"
"LA Times/USC TrackingLA Times",2016-09-27,2016-10-03,2275,"LV","4.5",43,47,"Trump +4"
"FOX NewsFOX News",2016-09-27,2016-09-29,911,"LV","3.0",49,44,"Clinton +5"
"NBC News/SMNBC News",2016-09-26,2016-10-02,26925,"LV","1.0",50,44,"Clinton +6"
"PPP (D)PPP (D)",2016-09-27,2016-09-28,933,"LV","3.2",49,45,"Clinton +4"
"GravisGravis",2016-09-27,2016-09-27,3386,"RV","1.7",50,50,"Tie"
"Reuters/IpsosReuters",2016-09-22,2016-09-26,1041,"LV","3.5",44,38,"Clinton +6"
"QuinnipiacQuinnipiac",2016-09-22,2016-09-25,1115,"LV","2.9",47,46,"Clinton +1"
"BloombergBloomberg",2016-09-21,2016-09-24,1002,"LV","3.1",46,46,"Tie"
"MonmouthMonmouth",2016-09-22,2016-09-25,729,"LV","3.6",49,46,"Clinton +3"
"Economist/YouGovEconomist",2016-09-22,2016-09-24,948,"RV","3.8",48,44,"Clinton +4"
"LA Times/USC TrackingLA Times",2016-09-20,2016-09-26,2726,"LV","4.5",43,46,"Trump +3"
"NBC News/SMNBC News",2016-09-19,2016-09-25,13598,"LV","1.1",51,44,"Clinton +7"
"ABC News/Wash PostABC/WP",2016-09-19,2016-09-22,651,"LV","4.5",49,47,"Clinton +2"
"Economist/YouGovEconomist",2016-09-18,2016-09-19,936,"RV","4.0",45,44,"Clinton +1"
"Reuters/IpsosReuters",2016-09-15,2016-09-19,1111,"LV","3.4",39,39,"Tie"
"McClatchy/MaristMcClatchy",2016-09-15,2016-09-20,758,"LV","3.6",48,41,"Clinton +7"
"NBC News/Wall St. JrnlNBC/WSJ",2016-09-16,2016-09-19,922,"LV","3.2",48,41,"Clinton +7"
"Associated Press-GfKAP-GfK",2016-09-15,2016-09-16,1251,"LV","--",50,44,"Clinton +6"
"LA Times/USC TrackingLA Times",2016-09-13,2016-09-19,2524,"LV","4.5",42,47,"Trump +5"
"NBC News/SMNBC News",2016-09-12,2016-09-18,13320,"LV","1.2",50,45,"Clinton +5"
"FOX NewsFOX News",2016-09-11,2016-09-14,867,"LV","3.0",45,46,"Trump +1"
"CBS News/NY TimesCBS/NYT",2016-09-09,2016-09-13,1433,"LV","3.0",46,44,"Clinton +2"
"Economist/YouGovEconomist",2016-09-10,2016-09-13,926,"RV","4.0",46,44,"Clinton +2"
"QuinnipiacQuinnipiac",2016-09-08,2016-09-13,960,"LV","3.2",48,43,"Clinton +5"
"Reuters/IpsosReuters",2016-09-08,2016-09-12,1127,"LV","3.3",40,39,"Clinton +1"
"LA Times/USC TrackingLA Times",2016-09-05,2016-09-11,2596,"LV","4.5",44,44,"Tie"
"NBC News/SMNBC News",2016-09-05,2016-09-11,16220,"RV","1.1",48,44,"Clinton +4"
"ABC News/Wash PostABC/WP",2016-09-05,2016-09-08,642,"LV","4.5",51,43,"Clinton +8"
"Economist/YouGovEconomist",2016-09-04,2016-09-06,955,"RV","4.7",44,42,"Clinton +2"
"Reuters/IpsosReuters",2016-09-01,2016-09-05,1084,"LV","3.5",40,38,"Clinton +2"
"CNN/ORCCNN/ORC",2016-09-01,2016-09-04,786,"LV","3.5",48,49,"Trump +1"
"NBC News/SMNBC News",2016-08-29,2016-09-04,32226,"RV","1.0",48,42,"Clinton +6"
"IBD/TIPPIBD/TIPP",2016-08-26,2016-09-01,861,"LV","3.4",44,43,"Clinton +1"
"FOX NewsFOX News",2016-08-28,2016-08-30,1011,"RV","3.0",48,42,"Clinton +6"
"PPP (D)PPP (D)",2016-08-26,2016-08-28,881,"LV","3.3",48,43,"Clinton +5"
"Economist/YouGovEconomist",2016-08-27,2016-08-29,1119,"RV","4.0",47,42,"Clinton +5"
"Reuters/IpsosReuters",2016-08-25,2016-08-29,1404,"LV","3.0",40,39,"Clinton +1"
"MonmouthMonmouth",2016-08-25,2016-08-28,689,"LV","3.7",49,42,"Clinton +7"
"USA Today/SuffolkUSA Today",2016-08-24,2016-08-29,1000,"LV","3.0",48,41,"Clinton +7"
"NBC News/SMNBC News",2016-08-22,2016-08-28,24104,"RV","1.0",48,42,"Clinton +6"
"LA Times/USCLA Times/USC",2016-08-22,2016-08-28,2460,"LV","4.5",44,44,"Tie"
"Reuters/IpsosReuters",2016-08-20,2016-08-24,1049,"LV","3.5",42,35,"Clinton +7"
"Economist/YouGovEconomist",2016-08-19,2016-08-23,906,"RV","4.1",47,44,"Clinton +3"
"QuinnipiacQuinnipiac",2016-08-18,2016-08-24,1498,"LV","2.5",51,41,"Clinton +10"
"NBC News/SMNBC News",2016-08-15,2016-08-21,17459,"RV","1.1",50,42,"Clinton +8"
"Reuters/IpsosReuters",2016-08-13,2016-08-17,1049,"LV","3.5",41,36,"Clinton +5"
"Economist/YouGovEconomist",2016-08-14,2016-08-16,911,"RV","4.2",47,41,"Clinton +6"
"GravisGravis",2016-08-15,2016-08-15,1143,"RV","2.9",54,46,"Clinton +8"
"NBC News/SMNBC News",2016-08-08,2016-08-14,15179,"RV","1.2",50,41,"Clinton +9"
"LA Times/USCLA Times/USC",2016-08-06,2016-08-12,2325,"LV","--",46,42,"Clinton +4"
"Reuters/IpsosReuters",2016-08-06,2016-08-10,974,"LV","3.5",42,36,"Clinton +6"
"Economist/YouGovEconomist",2016-08-06,2016-08-09,911,"RV","4.2",48,41,"Clinton +7"
"BloombergBloomberg",2016-08-05,2016-08-08,749,"LV","3.6",50,44,"Clinton +6"
"ABC News/Wash PostABC/WP",2016-08-01,2016-08-04,815,"RV","4.0",50,42,"Clinton +8"
"LA Times/USCLA Times/USC",2016-07-30,2016-08-05,2175,"LV","--",45,44,"Clinton +1"
"IBD/TIPPIBD/TIPP",2016-07-29,2016-08-04,851,"RV","3.4",46,39,"Clinton +7"
"McClatchy/MaristMcClatchy",2016-08-01,2016-08-03,983,"RV","3.1",48,33,"Clinton +15"
"NBC News/Wall St. JrnlNBC/WSJ",2016-07-31,2016-08-03,800,"RV","3.5",47,38,"Clinton +9"
"NBC News/SMNBC News",2016-08-01,2016-08-07,11480,"RV","1.2",51,41,"Clinton +10"
"FOX NewsFOX News",2016-07-31,2016-08-02,1022,"RV","3.0",49,39,"Clinton +10"
"Economist/YouGovEconomist",2016-07-30,2016-08-01,933,"RV","4.1",46,43,"Clinton +3"
"CBS NewsCBS News",2016-07-29,2016-07-31,1131,"RV","3.0",47,41,"Clinton +6"
"Reuters/IpsosReuters",2016-07-30,2016-08-03,1072,"LV","3.5",43,39,"Clinton +4"
"CNN/ORCCNN/ORC",2016-07-29,2016-07-31,894,"RV","3.5",52,43,"Clinton +9"
"NBC News/SMNBC News",2016-07-25,2016-07-31,12742,"RV","1.2",50,42,"Clinton +8"
"PPP (D)PPP (D)",2016-07-29,2016-07-30,1276,"LV","2.7",50,45,"Clinton +5"
"Reuters/IpsosReuters",2016-07-25,2016-07-29,1050,"LV","3.5",40,35,"Clinton +5"
"Rasmussen ReportsRasmussen",2016-07-26,2016-07-27,1000,"LV","3.0",43,42,"Clinton +1"
"Economist/YouGovEconomist",2016-07-23,2016-07-24,1057,"RV","4.5",47,42,"Clinton +5"
"CNN/ORCCNN/ORC",2016-07-22,2016-07-24,882,"RV","3.5",45,48,"Trump +3"
"LA Times/USCLA Times/USC",2016-07-20,2016-07-26,2150,"LV","--",40,47,"Trump +7"
"CBS NewsCBS News",2016-07-22,2016-07-24,1118,"RV","4.0",43,44,"Trump +1"
"NBC News/SMNBC News",2016-07-18,2016-07-24,12931,"RV","1.2",46,45,"Clinton +1"
"GravisGravis",2016-07-21,2016-07-22,3462,"RV","1.7",49,51,"Trump +2"
"Rasmussen ReportsRasmussen",2016-07-18,2016-07-19,1000,"LV","3.0",42,43,"Trump +1"
"Reuters/IpsosReuters",2016-07-16,2016-07-20,1232,"RV","3.2",40,36,"Clinton +4"
"Economist/YouGovEconomist",2016-07-15,2016-07-17,925,"RV","4.5",45,41,"Clinton +4"
"NBC News/SMNBC News",2016-07-11,2016-07-17,9436,"RV","1.4",46,45,"Clinton +1"
"CNN/ORCCNN/ORC",2016-07-13,2016-07-16,872,"RV","3.5",49,42,"Clinton +7"
"ABC News/Wash PostABC/WP",2016-07-11,2016-07-14,816,"RV","4.0",47,43,"Clinton +4"
"Rasmussen ReportsRasmussen",2016-07-12,2016-07-13,1000,"LV","3.0",37,44,"Trump +7"
"NBC News/Wall St. JrnlNBC/WSJ",2016-07-09,2016-07-13,1000,"RV","3.1",46,41,"Clinton +5"
"CBS News/NY TimesCBS/NYT",2016-07-08,2016-07-12,1358,"RV","3.0",40,40,"Tie"
"Economist/YouGovEconomist",2016-07-09,2016-07-11,932,"RV","4.5",45,43,"Clinton +2"
"McClatchy/MaristMcClatchy",2016-07-05,2016-07-09,1053,"RV","3.0",42,39,"Clinton +3"
"Rasmussen ReportsRasmussen",2016-07-05,2016-07-05,1000,"LV","3.0",40,42,"Trump +2"
"Reuters/IpsosReuters",2016-07-02,2016-07-06,1345,"RV","2.8",44,33,"Clinton +11"
"Economist/YouGovEconomist",2016-07-02,2016-07-04,1004,"RV","4.0",47,42,"Clinton +5"
"Rasmussen ReportsRasmussen",2016-06-28,2016-06-29,1000,"LV","3.0",39,43,"Trump +4"
"USA Today/SuffolkUSA Today",2016-06-26,2016-06-29,1000,"LV","3.0",46,40,"Clinton +6"
"PPP (D)PPP (D)",2016-06-27,2016-06-28,947,"RV","3.2",48,44,"Clinton +4"
"Gravis*Gravis*",2016-06-27,2016-06-28,2162,"RV","2.1",50,48,"Clinton +2"
"FOX NewsFOX News",2016-06-26,2016-06-28,1017,"RV","3.0",44,38,"Clinton +6"
"Reuters/IpsosReuters",2016-06-25,2016-06-29,1247,"RV","2.8",42,32,"Clinton +10"
"IBD/TIPPIBD/TIPP",2016-06-24,2016-06-29,837,"RV","3.5",44,40,"Clinton +4"
"Economist/YouGovEconomist",2016-06-24,2016-06-27,1069,"RV","3.9",42,38,"Clinton +4"
"QuinnipiacQuinnipiac",2016-06-21,2016-06-27,1610,"RV","2.4",42,40,"Clinton +2"
"Pew ResearchPew",2016-06-15,2016-06-26,1655,"RV","2.7",51,42,"Clinton +9"
"ABC News/Wash PostABC/WP",2016-06-20,2016-06-23,836,"RV","4.0",51,39,"Clinton +12"
"NBC News/Wall St. JrnlNBC/WSJ",2016-06-19,2016-06-23,1000,"RV","3.1",46,41,"Clinton +5"
"Rasmussen ReportsRasmussen",2016-06-20,2016-06-21,1000,"LV","3.0",44,39,"Clinton +5"
"Reuters/IpsosReuters",2016-06-18,2016-06-22,1339,"RV","2.8",44,34,"Clinton +10"
"Economist/YouGovEconomist",2016-06-18,2016-06-20,1011,"RV","4.1",43,39,"Clinton +4"
"CNN/ORCCNN/ORC",2016-06-16,2016-06-19,891,"RV","3.5",47,42,"Clinton +5"
"MonmouthMonmouth",2016-06-15,2016-06-19,721,"LV","3.7",49,41,"Clinton +8"
"Gravis*Gravis*",2016-06-16,2016-06-16,2197,"RV","2.1",51,47,"Clinton +4"
"Rasmussen ReportsRasmussen",2016-06-14,2016-06-15,1000,"LV","3.0",44,39,"Clinton +5"
"Reuters/IpsosReuters",2016-06-11,2016-06-15,1323,"RV","2.8",41,32,"Clinton +9"
"CNBCCNBC",2016-06-11,2016-06-13,801,"RV","3.5",40,35,"Clinton +5"
"Bloomberg*Bloomberg*",2016-06-10,2016-06-13,750,"LV","3.6",49,37,"Clinton +12"
"CBS NewsCBS News",2016-06-09,2016-06-13,1048,"RV","4.0",43,37,"Clinton +6"
"FOX NewsFOX News",2016-06-05,2016-06-08,1004,"RV","3.0",42,39,"Clinton +3"
"Rasmussen ReportsRasmussen",2016-06-06,2016-06-07,1000,"LV","3.0",42,38,"Clinton +4"
"Reuters/IpsosReuters",2016-06-04,2016-06-08,1440,"RV","2.9",42,34,"Clinton +8"
"Economist/YouGovEconomist",2016-06-02,2016-06-05,1636,"RV","3.6",44,41,"Clinton +3"
"IBD/TIPPIBD/TIPP",2016-05-31,2016-06-05,850,"RV","3.3",45,40,"Clinton +5"
"Rasmussen ReportsRasmussen",2016-05-31,2016-06-01,1000,"LV","3.0",39,38,"Clinton +1"
"QuinnipiacQuinnipiac",2016-05-24,2016-05-30,1561,"RV","2.5",45,41,"Clinton +4"
"Rasmussen ReportsRasmussen",2016-05-23,2016-05-24,1000,"LV","3.0",40,39,"Clinton +1"
"ABC News/Wash PostABC/WP",2016-05-16,2016-05-19,829,"RV","3.5",44,46,"Trump +2"
"LA Times/USCLA Times/USC",2016-08-14,2016-08-20,2385,"LV","--",43,45,"Trump +2"
"NBC News/Wall St. JrnlNBC/WSJ",2016-05-15,2016-05-19,1000,"RV","3.1",46,43,"Clinton +3"
"Rasmussen ReportsRasmussen",2016-05-17,2016-05-18,1000,"LV","3.0",37,42,"Trump +5"
"FOX NewsFOX News",2016-05-14,2016-05-17,1021,"RV","3.0",42,45,"Trump +3"
"CBS News/NY TimesCBS/NYT",2016-05-13,2016-05-17,1109,"RV","3.0",47,41,"Clinton +6"
"Gravis*Gravis*",2016-05-10,2016-05-10,1574,"RV","2.5",50,48,"Clinton +2"
"PPP (D)PPP (D)",2016-05-06,2016-05-09,1222,"RV","3.2",47,41,"Clinton +6"
"CNN/ORCCNN/ORC",2016-04-28,2016-05-01,890,"RV","3.5",54,41,"Clinton +13"
"Rasmussen ReportsRasmussen",2016-04-27,2016-04-28,1000,"LV","3.0",39,41,"Trump +2"
"IBD/TIPPIBD/TIPP",2016-04-22,2016-04-28,814,"RV","3.5",47,40,"Clinton +7"
"Rasmussen ReportsRasmussen",2016-04-25,2016-04-26,1000,"LV","3.0",38,38,"Tie"
"USA Today/SuffolkUSA Today",2016-04-20,2016-04-24,1000,"LV","3.0",50,39,"Clinton +11"
"GWU/BattlegroundGWU/Battleground",2016-04-17,2016-04-20,1000,"LV","3.1",46,43,"Clinton +3"
"FOX NewsFOX News",2016-04-11,2016-04-13,1021,"RV","3.0",48,41,"Clinton +7"
"NBC News/Wall St. JrnlNBC/WSJ",2016-04-10,2016-04-14,1000,"RV","3.1",50,39,"Clinton +11"
"CBS NewsCBS News",2016-04-08,2016-04-12,1098,"RV","3.0",50,40,"Clinton +10"
"McClatchy/MaristMcClatchy",2016-10-29,2016-11-04,541,"RV","4.2",56,41,"Clinton +15"
"QuinnipiacQuinnipiac",2016-10-29,2016-11-02,1144,"RV","2.9",46,43,"Clinton +3"
"NBC News/Wall St. JrnlNBC/WSJ",2016-10-25,2016-10-29,847,"RV","3.4",50,42,"Clinton +8"
"CNN/ORCCNN/ORC",2016-10-14,2016-10-17,956,"RV","3.0",50,45,"Clinton +5"
"FOX NewsFOX News",2016-10-10,2016-10-12,1004,"RV","3.0",40,45,"Trump +5"
"PPP (D)PPP (D)",2016-10-01,2016-10-04,1338,"RV","2.7",44,44,"Tie"
"NBC News/Wall St. JrnlNBC/WSJ",2016-09-20,2016-09-24,NA,NA,"--",49,39,"Clinton +10"
"FOX NewsFOX News",2016-09-20,2016-09-22,1013,"RV","3.0",46,42,"Clinton +4"
"QuinnipiacQuinnipiac",2016-09-17,2016-09-21,1574,"RV","2.5",45,43,"Clinton +2"
"ABC News/Wash PostABC/WP",2016-09-07,2016-09-10,821,"RV","4.0",46,43,"Clinton +3"
"CNN/ORCCNN/ORC",2016-09-04,2016-09-08,930,"RV","3.0",48,48,"Tie"
"MSNBC/Telemundo/MaristMSNBC/Telemundo/Marist",2016-08-26,2016-09-09,1115,"RV","2.9",53,40,"Clinton +13"
"SurveyUSASUSA",2016-09-02,2016-09-03,900,"RV","3.3",40,45,"Trump +5"
"PPP (D)PPP (D)",2016-08-28,2016-08-30,1254,"RV","2.8",46,44,"Clinton +2"
"QuinnipiacQuinnipiac",2016-08-20,2016-08-25,1563,"RV","2.5",45,41,"Clinton +4"
"CNN/ORCCNN/ORC",2016-08-13,2016-08-16,897,"RV","3.5",51,45,"Clinton +6"
"FOX NewsFOX News",2016-08-11,2016-08-13,1008,"RV","3.0",47,42,"Clinton +5"
"QuinnipiacQuinnipiac",2016-07-23,2016-07-28,1644,"RV","2.4",48,36,"Clinton +12"
"McClatchy/MaristMcClatchy",2016-07-22,2016-07-28,964,"RV","3.2",54,38,"Clinton +16"
"CNN/Opinion ResearchCNN/ORC",2016-07-22,2016-07-25,898,"RV","3.5",56,40,"Clinton +16"
"PPP (D)PPP (D)",2016-07-20,2016-07-21,1087,"RV","3.0",50,37,"Clinton +13"
"USA Today/SuffolkUSA Today",2016-07-09,2016-07-12,1000,"LV","3.0",51,34,"Clinton +17"
"CNN/Opinion ResearchCNN/ORC",2016-06-26,2016-06-28,890,"RV","3.5",59,35,"Clinton +24"
"FOX NewsFOX News",2016-06-21,2016-06-23,1005,"RV","3.0",51,34,"Clinton +17"
"QuinnipiacQuinnipiac",2016-05-19,2016-05-26,1711,"RV","2.4",50,32,"Clinton +18"
